
ভাবী,ভবিষ্যতে হবে এমন
অপরাজেয়,পরাজিত করা যায় না যাকে 
সম্প্রীতি,পরস্পরের মধ্যে প্রীতি 
পঞ্চবার্ষিকী,পঞ্চবর্ষের সমাহার 
পঞ্চবটী,পঞ্চবটের সমাহার 
পঞ্চনদ/পাঞ্জাব,পঞ্চ নদী যেখানে 
পঞ্চানন,পঞ্চ আনন যার 
রজতজয়ন্তী,পঁচিশ বছর পূর্তির জন্য যে উৎসব 
পাস্থ,পড়ার উপযুক্ত 
পয়মন্ত,পায় আছে যার 
কসাই,পশুকে হত্যা করে যে 
অনুগামী,পশ্চাতে গমন করে যে 
বিপত্নীক,পত্নী বিগত যার 
সুবর্ণজয়ন্তী,পঞ্চাশ বছর পূর্তির জন্য যে অনুষ্ঠান 
কমলাক্ষ,পদ্মের মতো সুন্দর চোখ যার 
মুখপাত্র,প্রতিনিধি স্থানীয় ব্যক্তি 
প্রতিক্ষণ,প্রত্যেক মুহূর্ত 
প্রাত্যহিক,প্রত্যহ যা করতে হয় 
প্রকৃতিস্থ,প্রকৃত অবস্থায় থাকে যা 
প্রতিবেদন,প্রকৃষ্ট ঘটনার বিবরণ 
প্রতীক্ষা,প্রকাশিত কিছুর জন্য অপেক্ষা 
শুকতারা,প্রভাতের প্রথম তারা 
প্রবেশিকা,প্রবেশার্থে দেয়া অর্থ বা টিকিট 
বিবক্ষু,প্রবেশ ইচ্ছুক 
বিবক্ষা,প্রবেশ করার ইচ্ছা 
আদ্যন্ত,প্রথম থেকে শেষ পর্যন্ত 
অপ্রতিরোধ্য,প্রতিরোধ করা যায় না যা 
প্রতিচিকীর্ষা,প্রতিবিধান করার ইচ্ছা 
প্রতিবিধিৎসু,প্রতিবিধান করতে ইচ্ছুক 
পাঁচমিশালী,পাঁচরকম জিনিস আছে যাতে 
প্রাক্তন,প্রাক্কালে ছিল যা 
পেয়,পানের যোগ্য 
পিপাসা,পান করার ইচ্ছা 
আপাদমস্তক,পা থেকে মাথা পর্যন্ত 
কূজন,পাখির গান 
কাকলি,পাখির ডাক 
ফুলটুসি,অল্প পরিশ্রমে শ্রান্ত নারী 
বহদর্শী/ভূয়দর্শী,অনেক অভিজ্ঞতা আছে যার 
শিঞ্জন,অলঙ্কারের ধ্বনি 
সাবলীল,অবলীয়ার সঙ্গে 
অনুসারী,অনুসরণ করে যে 
অনসূয়া,অসূয়া নেই যার 
অন্তর্যামী,অন্তরকে নিয়ন্ত্রণ করেন যিনি 
তামসী,অন্ধকার রাত্রি 
বান্তর,অন্য বার 
পরসঙ্গ,অন্যের সাথে মেলামেশা 
অন্বেষা,অন্বেষণ করার ইচ্ছা 
অবশ্যম্ভাবী,অবশ্যই যা হবে 
খানাতল্লাশ,অপরাধের তথ্য সংগ্রহের উদ্দেশ্যে গৃহাদি অনুসন্ধান 
সাদী,অশ্বের চালক 
পশ্চাৎপদ/পিছু-পা,অগ্রসর হতে অনিচ্ছুক 
প্রত্যাসন্ন,অতি আসন্ন 
মহানাদ,অতি উচ্চ ধ্বনি 
ওস্তাগর,অতি নিপুণ কারিগর 
অট্টহাস্য,অতি উচ্চ বিকট হাসি 
বড়াই,অতি বৃদ্ধা নারী 
নরাধম,অতি নিকৃষ্ট নর 
দুর্মর,অতি রক্ষণশীল 
উতরোল,অতি উচ্চ রোল 
তড়িতড়িত,অতিশয় তাড়াতাড়ি 
সুরম্য,অতিশয় রমণীয় 
উতফুল্ল,অত্যন্ত প্রফুল্ল 
ফুলবাবু,অত্যন্ত শৌখিন লোক 
হঠকারী,অনুচিত বল প্রয়োগকারী 
লোকান্তর,অন্য লোক 
জন্মান্তর,অন্য জন্ম 
কালান্তর,অন্য কাল 
বেমালুম,অন্যের অজ্ঞাতসারে 
অচলায়তন,অন্যায় গোঁড়ামিপূর্ণ প্রতিষ্ঠান 
নাটক,অভিনয়ের উপযোগী দৃশ্যকাব্য 
পূর্বাহ্ণ,অহনের পূর্বাংশ 
মধ্যাহ্ন,অহনের মধ্য অংশ 
অপরাহ্ণ,অহনের শেষ অংশ 
অকালপক্বতা,অনভিজ্ঞের অভিজ্ঞ আচরণ 
অকৃতদার/অনূঢ়,অবিবাহিত ব্যক্তি 
অত্যুক্তি,অধিক উক্তি 
অনন্যসহায়,অন্য সহায় নেই যার 
দুর্বহ,অতি কর্মনিপুণ ব্যক্তি 
নিমরাজি,অর্ধেক সম্মত 
অন্যতম,অনেকের মধ্যে এক 
স্বাঙ্গ,অন্যের সাথে বর্তমান 
অনন্যকর্মা,অন্য কোনো কর্ম নেই যার 
গত্যন্তর,অন্য গতি 
সুদূরপরাহত,অদূর ভবিষ্যতে যা পাবার সম্ভাবনা নেই 
আস্তাবল,অশ্ব রাখার স্থান 
অকালকুসুম,অকালের ফুল 
মহামতি,অতি উন্নত মতি যার 
চরিতকর্মা,অতি কর্মনিপুণ ব্যক্তি 
রত্নগর্ভা,অতি গুণবান পুত্রের জননী 
নাতিদীর্ঘ,অতি দীর্ঘ নয় 
মহার্ঘ/অমূল্য,অতি মূল্য যার 
ধনকুবের,অতিশয় ধনশালী ব্যক্তি 
আতিথ্য,অতিথি আপ্যায়ন 
ইতিহাস,অতীত কাহিনী 
ত্রিকালদর্শী,অতীত বর্তমান ভবিষ্যৎ যিনি জানতে পারেন 
বয়োবৃদ্ধ,অধিক বয়স যার 
সূর্যস্নান,অনাবৃত দেহে রৌদ্র মাত 
